id,name,description,type,orbit_id
1051,SpX-DM2 (Demonstration Mission 2),"A new era of human spaceflight is set to begin as American astronauts once again launch on an American rocket from American soil. The Demo-2 mission is the second test flight of Crew Dragon; and the first flight with crew onboard. It will carry NASA astronauts Robert Behnken and Douglas Hurley to the International Space Station for an extended stay (the specific mission duration will be determined once on station based on the readiness of the next commercial crew launch). They will perform tests on Crew Dragon in addition to conducting research and other tasks with the space station crew.   As the final flight test for SpaceX, this mission will validate the company’s crew transportation system, including the launch pad, rocket, spacecraft, and operational capabilities. This also will be the first time NASA astronauts will test the spacecraft systems in orbit. The Demo-2 mission will be the final major step before NASA’s Commercial Crew Program certifies Crew Dragon for operational, long-duration missions to the space station.  Current Mission Status: After a successful ride to orbit and stay at the International Space Station, the Dragon Spacecraft successfully made its way back to Earth. Capsule successfully landed in the Gulf of Mexico waters on 3rd August 2020 at 18:48 UTC.",Test Flight,8
1053,EarthCARE,EarthCARE (Earth Cloud Aerosol and Radiation Explorer) is a joint mission of ESA and JAXA. The main goal of the mission is the observation and characterization of clouds and aerosols as well as measuring the reflected solar radiation and the infrared radiation emitted from Earth's surface and atmosphere.,Earth Science,17
1068,JCSAT-18/KACIFIC-1,"JCSAT-18/KACIFIC-1 is a joint high-throughput communications satellite for Sky Perfect JSAT Corp. of Japan and a Singapore telecommunications company Kacific Broadband Satellites. Satellite will provide mobile telephone; data and internet services throughout the Asia-Pacific region.  The JCSAT-18 payload will provide Ku-band coverage and improve mobile and broadband services for SKY Perfect JSAT Corporation customers in the Asia-Pacific region, including the far eastern part of Russia. The satellite features technologies in the power subsystem to achieve highest efficiencies, and it also features command and data handling technologies to provide a more secure spacecraft.  The KACIFIC-1 payload is designed to deliver uncontended broadband throughput via 56 Ka-band narrow beams, each having a capacity up to 1.25 Gbps, with the highest signal power ever achieved in the region. The beams are selectively tailored to cover precise pockets of demand in a geographically dispersed footprint of 20 Pacific and South East Asian nations.",Communications,
1075,Starlink 3,"Second operational Starlink payload of 2020 and third overall. The Falcon 9 launch vehicle will carry a batch of 60 Starlink satellites that will be insterted in a Low Earth Orbit (LEO) at an altitude of 290 km (180 mi) and an inclination of 53Â°. They will then split into three orbital planes and raise their orbits to reach an operational altitude of 550 km (342 mi). The Starlink LEO constellation aims to provide worldwide affordable satellite internet access. 182 satellites (120 operational) have been deployed so far; the goal scheduled for the mid-2020s being 12,000 satellites in orbit, with a possible later extension to 42,000. The booster for this launch will be B1051, a Block 5 generation core which previously flew on SpaceX's Demonstration Mission 1 (first Crew Dragon test flight) and launched the Canadian Space Agency's RADARSAT Constellation.",Communications,8
1076,Starlink 4,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1086,"PACE (Plankton, Aerosol, Cloud, ocean Ecosystem)","PACE (Plankton, Aerosol, Cloud, ocean Ecosystem) is a NASA Earth observation satellite mission. It will make global ocean color measurements to provide extended data records on ocean ecology and global biogeochemistry (e.g., carbon cycle) along with polarimetry measurements to provide extended data records on clouds and aerosols.",Earth Science,17
1087,Europa Clipper,"Europa Clipper is the first dedicated mission to study Jupiter's moon Europa. Mission is developed by NASA and comprises of an orbiter spacecraft, which, while in orbit around Jupiter, will perform numerous flybys over Europa. Europa Clipper payload suit included high-resolution cameras and spectrometers for imaging Europa's surface and thin atmosphere, an ice-penetrating radar to search for subsurface water, and a magnetometer and gravity measurements to measure the moon's magnetic field and unlock clues about its ocean and deep interior.",Planetary Science,6
1090,SpX CRS-20,SpaceX launched the Dragon spacecraft on their 20th operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
1092,Starlink 5,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1096,SAOCOM 1B,The SAOCOM 1B spacecraft is the second of the two SAOCOM constellation satellites. It is tasked with hydrology and land observation; and will also operate jointly with the Italian COSMO-SkyMed constellation in X-band to provide frequent information relevant for emergency management.  Two rideshare payloads are present - Tyvak-0172 and PlanetiQ’s GNOMES-1.,Communications,17
1098,Psyche,"Psyche is a NASA interplanetary mission to visit the main belt asteroid of the same name; 16 Psyche. Spacecraft will take 4 years and one Mars flyby to reach the asteroid, which is of particular interest due to being comprised mostly of iron and nickel. Psyche is theorized to be a remnant of an early planet's core, and may offer insights into how solar system formed and evolved. The mission is led by Arizona State University, with NASA JPL being responsible for mission management and operations.",Planetary Science,6
1099,Axiom Space Mission 1,This is a Crew Dragon flight for a private company Axiom Space. The mission will carry a commander professionally trained by Axiom alongside three private astronauts to and from the International Space Station. This crew will stay aboard space station for  at least eight days.,Tourism,8
1108,Starlink 6,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1112,Starlink 7,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1115,Starlink 8,A batch of 58 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. This launch will also carry three SkySat Earth-imaging satellites as a rideshare for Planet.,Communications,8
1118,Starlink 9,A batch of 57 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. This launch will also carry two BlackSky Earth-imaging satellites as a rideshare.,Communications,8
1137,Crew-2,SpaceX Crew-2 is the second crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program. It used the same Falcon 9 first stage as the Crew-1 mission and the same Crew Dragon capsule as the Demo-2 mission (Endeavour).,Human Exploration,8
1138,SES-18 & SES-19,SES-18 & SES-19 are two communications satellites built by Northrop Grumman.,Communications,2
1140,USSF-67,USSF-67 is a mission for the United States Space Force with two satellites; including the LDPE-3A rapid prototype platform hosting 5 USSF payloads.,Government/Top Secret,1
1143,Starlink 10,A batch of 58 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. This launch will also carry 3 SkySat Earth-imaging satellites as a rideshare.,Communications,8
1145,Starhopper 20m Hop,The Starhopper test article performed an untethered hop to an altitude of 20m.,Test Flight,15
1146,Starhopper 150m Hop,"SpaceX's latest prototype rocket design; Starhopper, has successfully performed a 150m  hop on Tuesday August 27, 2019 at 22:02 UTC.",Test Flight,15
1147,SN6 150m Hop,The Starship SN6 prototype sucessfully performed a 150m hop similar to the one successfully performed by its predecessor SN5.,Test Flight,15
1151,Starlink 11,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1188,Starlink 12,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1192,"GPS III SV04 ""Sacagawea""","GPS-IIIA (Global Positioning System) is the first evolution stage of the third generation of the GPS satellites. It consists of the first ten (known as ""tranche"") of GPS III satellites.",Navigation,12
1195,NROL-108,Classified payload for NRO.,Government/Top Secret,8
1197,Starlink 13,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1201,Starlink 14,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1203,12.5 km Flight,The SN8 Starship prototype was destroyed when attempting to land after a first flight to an altitude of 12.5 km or 41;000 ft.,Test Flight,15
1209,Starlink 15,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1212,Dragon CRS-2 SpX-21,SpaceX will launch the first cargo variant of its Dragon 2 spacecraft on their 21st commercial resupply services mission to the International Space Station. The flight will be conducted under the second Commercial Resupply Services contract with NASA.  Dragon will be filled with supplies and payloads; including critical materials to directly support more than 250 science and research investigations that occur onboard the orbiting laboratory.,Resupply,8
1220,Crew-3,SpaceX Crew-3 is the third crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,Human Exploration,8
1222,Türksat 5A,Türksat 5A is the first of two Turkish next generation communications satellites; which will be operated by Türksat for commercial and military purposes.,Communications,2
1223,Transporter 1 (Dedicated SSO Rideshare),Transporter 1 mission is a dedicated rideshare flight to a sun-synchronous orbit with dozens of small microsatellites and nanosatellites for commercial and government customers.,Dedicated Rideshare,17
1224,10 km Flight,"The SN9 Starship performed a first flight similar to the one of SN8. It launched up to an altitude of 10 km or 33;000 ft, did a belly flop maneuver and a controlled descent to the landing pad where the landing flip maneuver was unsuccessful and resulted in the destruction of the prototype on impact.",Test Flight,15
1225,Starlink 16,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1229,Starlink 17,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1230,Starlink 18,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1232,Inspiration4,"Inspiration4 is the world’s first all-commercial astronaut mission to orbit. Jared Isaacman; founder and CEO of Shift4 Payments, is donating the three seats alongside him aboard Dragon to individuals from the general public - Medical Officer Hayley Arceneaux, a physician assistant at St. Jude Children’s Research Hospital and pediatric cancer survivor; Mission Specialist Chris Sembroski, an Air Force veteran and aerospace data engineer; and Mission Pilot Dr. Sian Proctor, a geoscientist, entrepreneur, and trained pilot. The Inspiration4 crew received commercial astronaut training by SpaceX on the Falcon 9 launch vehicle and Dragon spacecraft, orbital mechanics, operating in microgravity, zero gravity, and other forms of stress testing. They will go through emergency preparedness training, spacesuit and spacecraft ingress and egress exercises, as well as partial and full mission simulations. The Crew Dragon spacecraft will remain in a 575 km high orbit for three days before reentering Earth's atmosphere for a soft water landing off the coast of Florida. During their multi-day journey in orbit, the Inspiration4 crew will conduct scientific research designed to advance human health on Earth and during future long-duration spaceflights. For this mission, Crew Dragon is configured to feature an observation dome in place of docking port to provide views to the crew.",Human Exploration,8
1233,Starlink 19,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1238,Crew-4,SpaceX Crew-4 is the fourth crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,Human Exploration,8
1239,10 km Flight,"The SN10 Starship performed a test flight similar to SN8 and SN9. It launched up to an altitude of 10 km or 33;000 ft, did a belly flop maneuver followed by a controlled descent to the landing pad. Despite successfully performing the landing flip maneuver with its three Raptor engines, its vertical velocity was too high on landing, damaging its structure and resulting in an explosive destruction a few minutes after touchdown.",Test Flight,15
1240,Starlink 20,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1241,Dragon CRS-2 SpX-22,SpaceX will launch the second cargo variant of its Dragon 2 spacecraft on their 22nd commercial resupply services mission to the International Space Station. The flight will be conducted under the second Commercial Resupply Services contract with NASA.  Dragon will be filled with supplies and payloads; including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.,Resupply,8
1248,Starlink 21,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1251,Starlink 22,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1252,10 km Flight,"The SN11 Starship prototype performed a test flight similar to SN8; SN9 and SN10. It launched up to an altitude of 10 km or 33,000 ft and did a belly flop maneuver followed by a controlled descent, but got destroyed during the landing maneuver.",Test Flight,15
1254,Starlink 23,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1266,10 km Flight,The SN15 Starship prototype will perform a test flight similar to SN8 to SN11. It will launch up to an altitude of 10 km or 33;000 ft and do a belly flop maneuver followed by a controlled descent to the landing pad.,Test Flight,15
1268,Starlink 24,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1274,OneWeb 15,"A batch of 40 satellites for the OneWeb satellite constellation; which is intended to provide global Internet broadband service for individual consumers. The constellation is planned to have around 648 microsatellites (of which 60 are spares), around 150 kg each, operating in Ku-band from low Earth orbit.",Communications,13
1285,Starlink 25,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1291,Starlink 27,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1295,Starlink 26 & Rideshare,A batch of 52 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. Two rideshare satellites are also on this flight: a Capella radar observation spacecraft and a small payload from the California-based smallsat manufacturer Tyvak.,Communications,8
1297,Integrated Flight Test,Maiden flight of the two-stage Starship launch vehicle. The booster was supposed to separate 170 seconds into flight and return to land approximately 32 km off the shore in the Gulf of Mexico. The second stage would have followed a suborbital trajectory and performed an unpowered splashdown approximately 100 km off the northwest coast of Kauai (Hawaii). A launch failure was experienced before stage separation.,Test Flight,15
1301,Starlink 28,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1303,Dragon CRS-2 SpX-23,SpaceX will launch the cargo variant of its Dragon 2 spacecraft on their 23rd commercial resupply services mission to the International Space Station. The flight will be conducted under the second Commercial Resupply Services contract with NASA.  Dragon will be filled with supplies and payloads; including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.,Resupply,8
1306,Dragon CRS-2 SpX-24,24th commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.  Cargo Dragon 2 brings supplies and payloads; including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.,Resupply,8
1367,Axiom Space Mission 2,This is a Crew Dragon flight for a private company Axiom Space. The mission will carry a professionally trained commander alongside three private astronauts to and from the International Space Station. This crew will stay aboard space station for  at least eight days.,Human Exploration,8
1368,Axiom Space Mission 3,This is a Crew Dragon flight for a private company Axiom Space. The mission will carry a professionally trained commander alongside three private astronauts to and from the International Space Station. This crew will stay aboard space station for  at least eight days.,Tourism,8
1370,GPS III SV05,"GPS-IIIA (Global Positioning System) is the first evolution stage of the third generation of the GPS satellites. It consists of the first ten (known as ""tranche"") of GPS III satellites.",Navigation,12
1372,Transporter 2 (Dedicated SSO Rideshare),Transporter 2 mission is a dedicated rideshare flight to a sun-synchronous orbit with dozens of small microsatellites and nanosatellites for commercial and government customers.,Dedicated Rideshare,17
1373,Hotbird 13G,"Hotbird 13G is a communications satellite built by Airbus Defense and Space which will provide television broadcast services over Europe; the Middle East, and North Africa for Eutelsat.",Communications,2
1380,Starlink Group 2-1,A batch of 51 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,13
1381,Starlink Group 4-1,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1406,Transporter 3 (Dedicated SSO Rideshare),Transporter 3 mission is a dedicated rideshare flight to a sun-synchronous orbit with dozens of small microsatellites and nanosatellites for commercial and government customers.,Dedicated Rideshare,17
1427,IXPE,Imaging X-ray Polarimetry Explorer (IXPE) is a space observatory tasked with measuring the polarization of cosmic X-rays. This data will help to learn more about objects that emit these X-rays; such as black holes and neutron stars.,Astrophysics,8
5841,GOES-U,"The Geostationary Operational Environmental Satellite-U (GOES-U) is the fourth of the next generation of geostationary weather satellites, known as the GOES-R series. The four satellites of the series provide advanced imaging with increased spatial resolution and faster coverage for more accurate forecasts, real-time mapping of lightning activity, and improved monitoring of solar activity. Once GOES-U reaches orbit, it will be renamed GOES-19.",Earth Science,2
5848,Türksat 5B,Türksat 5B is a geostationary communications satellite. It is tasked with providing broadband telecommunication services to customers across Turkey;  the Middle East and large regions of Africa.,Communications,2
5851,Nova-C IM-1,"This is the first flight of Nova-C lander which was developed by Intuitive Machines. This mission is a part of CLPS program and carries various NASA payloads in support of Artemis lunar program, as well as multiple commercial payloads.",Lunar Exploration,11
5853,Türksat 6A,"Türksat 6A is Turkey's first domestically manufactured geostationary communications satellite. It is to reside in 42° East orbital slot, providing services to customers in Turkey, as well as in Europe, Northern coast of Africa, Middle East, India and Indonesia.",Communications,2
5855,Dragon CRS-2 SpX-25,25th commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.  Cargo Dragon 2 brings supplies and payloads; including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.,Resupply,8
5856,Dragon CRS-2 SpX-26,26th commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.  Cargo Dragon 2 brings supplies and payloads; including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.,Resupply,8
5857,Dragon CRS-2 SpX-27,27th commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.  Cargo Dragon 2 brings supplies and payloads; including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.,Resupply,8
5858,Dragon CRS-2 SpX-28,28th commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.  Cargo Dragon 2 brings supplies and payloads; including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.,Resupply,8
5859,Dragon CRS-2 SpX-29,"29th commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA.

Cargo Dragon 2 brings supplies and payloads, including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.",Resupply,8
5869,USSF-44,Classified US Space Force carrying two payloads directly to geostationary orbit. One is called the Shepherd Demonstration; and the other is LDPE 2 spacecraft that carries three hosted payloads and three deployable sub-satellites. One of them is an experimental microsatellite called TETRA-1.,Government/Top Secret,1
5870,Starlink Group 4-4,A batch of 52 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5872,Crew-5,SpaceX Crew-5 is the fifth crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,Human Exploration,8
5886,Starlink Group 4-3,A batch of 48 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system - as well as 2 BlackSky Earth observation satellites as rideshare payloads.,Communications,8
5898,Crew-6,SpaceX Crew-6 is the sixth crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,Human Exploration,8
5899,Transporter 4 (Dedicated SSO Rideshare),Transporter 4 mission is a dedicated rideshare flight to a sun-synchronous orbit with dozens of small microsatellites and nanosatellites for commercial and government customers.,Dedicated Rideshare,17
5900,Transporter 5 (Dedicated SSO Rideshare),"Transporter 5 mission is a dedicated rideshare flight to a sun-synchronous orbit with 59 cubeSats; microsats, non-deploying hosted payloads, and orbital transfer vehicles for commercial and government customers.",Dedicated Rideshare,17
5913,Starlink Group 4-5,A batch of 49 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5915,Starlink Group 4-6,A batch of 49 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5916,Galileo L12 (FOC FM25 & FM27),"Two satellites for Europe's Galileo navigation system. Originally planned for launch on Soyuz-ST and then Ariane 6 but both were unavailable.

Galileo provides Europe with an alternative to the American GPS and Russian GLONASS constellations, but will be interoperable with both systems.",Navigation,12
5917,Galileo L13 (FOC FM26 & FM32),"Two satellites for Europe's Galileo navigation system. Originally planned for launch on Soyuz-ST and then Ariane 6 but both were unavailable.

Galileo provides Europe with an alternative to the American GPS and Russian GLONASS constellations, but will be interoperable with both systems.",Navigation,12
5926,Eutelsat 10B,Eutelsat 10B is an all-electric geostationary communications satellite equipped with two multi-beam HTS Ku-band payloads able to provide a throughput of approximately 35 Gbps.,Communications,2
5927,NROL 87,Classified payload for the U.S. National Reconnaissance Office.,Government/Top Secret,17
5929,Starlink Group 4-7,A batch of 49 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5930,WorldView Legion 1 & 2,"WorldView Legion is a constellation of Earth observation satellites built and operated by Maxar. Constellation is planned to consist of 6 satellites in both polar and mid-inclination orbits, providing 30 cm-class resolution.",Earth Science,17
5937,Starlink Group 4-8,A batch of 46 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5944,Transporter 6 (Dedicated SSO Rideshare),Dedicated rideshare flight to a sun-synchronous orbit with dozens of small microsatellites and nanosatellites for commercial and government customers.,Dedicated Rideshare,17
5945,Transporter 7 (Dedicated SSO Rideshare),Transporter 7 mission is a dedicated rideshare flight to a sun-synchronous orbit with dozens of small microsatellites and nanosatellites for commercial and government customers.,Dedicated Rideshare,17
5946,Transporter 8 (Dedicated SSO Rideshare),Transporter 8 mission is a dedicated rideshare flight to a sun-synchronous orbit with 72 small microsatellites and nanosatellites for commercial and government customers.,Dedicated Rideshare,17
5947,Transporter 9 (Dedicated SSO Rideshare),Transporter 9 mission is a dedicated rideshare flight to a sun-synchronous orbit with dozens of small microsatellites and nanosatellites for commercial and government customers.,Dedicated Rideshare,17
5954,Polaris Dawn,"First mission of the privately funded Polaris program. The goal of this mission, lasting up to five days in orbit, is to fly higher than previous Dragon missions, perform the first-ever commercial EVA with SpaceX-designed spacesuits, orbit through portions of the Van Allen radiation belt, conduct medical research, and test laser-based Starlink communications in space.",Human Exploration,8
5955,Starlink Group 4-11,A batch of 50 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5956,Starlink Group 4-9,A batch of 47 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5957,Starlink Group 4-10,A batch of 48 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5959,Starlink Group 4-12,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5960,Crew-7,SpaceX Crew-7 is the seventh crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,Human Exploration,8
5961,Crew-8,SpaceX Crew-8 is the eighth crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,Human Exploration,8
5962,Crew-9,SpaceX Crew-9 is the ninth crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,Human Exploration,8
5970,Starlink Group 4-14,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5971,Starlink Group 4-16,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5973,WorldView Legion 3 & 4,"WorldView Legion is a constellation of Earth observation satellites built and operated by Maxar. Constellation is planned to consist of 6 satellites in both polar and mid-inclination orbits, providing 30 cm-class resolution.",Earth Science,8
5975,Galaxy 31 & 32,Galaxy 31; 32 are two geostationary communications satellites manufactured by Maxar and operated by Intelsat.,Communications,2
5976,Galaxy 33 & 34,Galaxy 33; 34 are two geostationary communications satellites manufactured by Northrop Grumman and operated by Intelsat.,Communications,2
5977,Galaxy 37,Galaxy 37 is a geostationary communications satellite manufactured by Maxar and operated by Intelsat.,Communications,2
5979,NROL-85,Classified payload for the US National Reconnaissance Office.,Government/Top Secret,25
5980,Starlink Group 4-13,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5981,Starlink Group 4-15,A batch of satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
5982,SARah 1,First of three radar remote sensing satellite built by Airbus for the German military.,Government/Top Secret,17
5983,SES-22,Geostationary communications satellite,Communications,2
6009,Starlink Group 4-17,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6011,Starlink Group 4-18,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6019,EchoStar 24/Jupiter-3,Geostationary communications satellite built by Maxar Technologies for EchoStar. With a capacity of 500 Gbps; its purpose is to relieve broadband capacity constraints in the Americas.,Communications,2
6021,Starlink Group 4-19,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6022,Starlink Group 4-26,A batch of 52 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6023,Starlink Group 4-25,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6024,Starlink Group 4-22,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6025,Starlink Group 4-21,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6026,Starlink Group 3-2,A batch of 46 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6027,Starlink Group 3-1,A batch of 46 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6028,Starlink Group 4-20 & Varuna-TDM,A batch of 51 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. Spaceflight's propulsive Sherpa-LTC2 space tug is also onboard as a rideshare to deploy into Boeing’s Varuna Technology Demonstration Mission in a higher orbit.,Communications,8
6029,USSF-124,"2 satellites, one by L3Harris and the other by Northrop Grumman, will be launched as the Hypersonic and Ballistic Tracking Space Sensor (HBTSS) mission for the US Missile Defense Agency. These satellites have improved sensitivity to detect and track hypersonic missiles with fainter signatures. 4 SDA Tranche 0 Tracking Layer missile warning satellites by L3Harris will also be on board.",Government/Top Secret,8
6030,USSF-62,"First Weather System Follow-on (WSF) satellite.

WSF-M (Weather System Follow-on - Microwave) is the next-generation operational environmental satellite system for the Department of Defense (DoD), to replace the microwave wavelength weather forecasting capabilities of the DMSP satellites.

Ball Aerospace has been selected in late November 2017 to be the prime contractor for 2 Low Earth Orbit (LEO) weather satellites with a passive microwave imaging radiometer instrument and hosted Government furnished energetic charged particle (ECP) sensor space weather payload developed by the Air Force Research Laboratory. The radiometer leverages the Ball-built Global Precipitation Measurement (GPM) Microwave Imager (GMI) instrument. 

This mission will improve weather forecasting over maritime regions by taking global measurements of the atmosphere and ocean surface.",Earth Science,13
6039,Starlink Group 4-2 & BlueWalker 3,A batch of 34 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. BlueWalker 3 is a rideshare test satellite for AST SpaceMobile’s planned space-based cellular broadband network.,Communications,8
6045,Nilesat-301,"Nilesat 301; to be launched into Nilesat's 7 ° West slot, is built by Thales Alenia Space on the Spacebus-4000B2 platform and is expected to weigh 4100 kilograms at launch. It will provide digital broadband and internet connectivity services for the Egyptian operator Nilesat.",Communications,1
6085,Globalstar-2 FM15 & USA 328-331,Launch carrying a spare Globalstar-2 satellite. Four other payloads were detected after deployment; after an additional payload adapter was spotted on top of the 2nd stage and unconfirmed reports of unannounced secret payload for the US government circulated.,Communications,8
6091,Danuri (KPLO - Korean Pathfinder Lunar Orbiter),Lunar orbiter designed by the Korea Aerospace Research Institute (KARI) to demonstrate technologies; survey lunar resources and produce a topographic map.,Lunar Exploration,0
6092,Arctic Satellite Broadband Mission (ASBM),"ASBM (Arctic Satellite Broadband Mission) 1 & 2 are two twin satellites built by Northrop Grumman for Space Norway, in cooperation with Inmarsat and the Norwegian Ministry of Defence.

They are designed to bring mobile broadband coverage in the Arctic for both civilians and military.

The US Air Force provides the Extremely High Frequency eXtended Data Rate payloads on ASBM satellites as part of the Enhanced Polar System Recapitalization (EPS-R) program.",Communications,0
6093,SARah 2 & 3,"SARah 2 & 3 are two passive reflector antenna radar satellites built by OHB-System, based on the reflector-antenna technology of SAR-Lupe. They are part of the three satellite constellation being built for the German government as a follow-up to the SAR-Lupe radar sat constellation.",Government/Top Secret,13
6100,Starlink Group 3-3,A batch of 46 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6106,Starlink Group 4-23,A batch of 54 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6107,Starlink Group 4-27,A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
6110,OneWeb 16,"A batch of 48 satellites for the OneWeb satellite constellation; which is intended to provide global Internet broadband service for individual consumers. The constellation is planned to have around 648 microsatellites (of which 60 are spares), around 150 kg each, operating in Ku-band from low Earth orbit.",Communications,13
